City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
San Leandro,California,41.8,43032,47679,90711,4111,34293,2.79,CA,Hispanic or Latino,26894
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,Black or African-American,81861
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,Black or African-American,61894
Pittsburgh,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,PA,Black or African-American,82248
Naperville,Illinois,38.5,71365,75794,147159,4545,30399,2.76,IL,White,108937
Augusta-Richmond County consolidated government,Georgia,33.7,94662,101917,196579,19085,7915,2.67,GA,Black or African-American,112271
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,American Indian and Alaska Native,7192
Yuba City,California,34.5,33654,33290,66944,4706,18032,2.9,CA,American Indian and Alaska Native,2163
Jacksonville,Florida,35.7,419203,448828,868031,75432,85650,2.62,FL,White,543582
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,Black or African-American,2081
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,Black or African-American,301568
Yorba Linda,California,45.5,31960,36006,67966,3171,15532,3,CA,Black or African-American,1326
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,Asian,30573
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,Hispanic or Latino,5589
Atascocita,Texas,32.8,37424,40816,78240,4416,8657,3.03,TX,Black or African-American,21491
Ontario,California,31,85059,86141,171200,4816,48557,3.52,CA,American Indian and Alaska Native,4304
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,Asian,1428
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,White,59839
Spokane Valley,Washington,36,49933,44975,94908,7984,4199,2.39,WA,Asian,1336
Greenville,North Carolina,26.2,39897,50691,90588,4283,4183,2.4,NC,Hispanic or Latino,4409
Irving,Texas,32.3,117189,119428,236617,6207,86756,2.78,TX,American Indian and Alaska Native,2960
Meridian,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,Black or African-American,1809
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,Asian,4964
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,White,114140
Carson,California,40.4,43790,49506,93296,4273,33860,3.7,CA,Asian,31706
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,Black or African-American,42331
Thousand Oaks,California,44.8,65113,64216,129329,6323,25330,2.79,CA,Hispanic or Latino,26754
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,Black or African-American,13636
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,Hispanic or Latino,13368
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,American Indian and Alaska Native,1333
Indianapolis,Indiana,34.1,410615,437808,848423,42186,72456,2.53,IN,White,553665
Tracy,California,35.5,43156,43937,87093,3025,25410,3.42,CA,Asian,16856
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,Asian,2374
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,American Indian and Alaska Native,551
Plano,Texas,38.1,138565,145054,283619,11719,74030,2.65,TX,White,195220
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,Asian,11854
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,White,16845
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,Hispanic or Latino,35563
Gresham,Oregon,36.7,53866,56716,110582,6326,17860,2.67,OR,Black or African-American,7721
Lewisville,Texas,31.6,52776,52032,104808,4211,24865,2.78,TX,Asian,12412
Independence,Missouri,38.6,54348,62907,117255,10220,4911,2.33,MO,Hispanic or Latino,12236
Hoover,Alabama,38.5,38040,46799,84839,4819,8229,2.58,AL,Hispanic or Latino,3430
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,American Indian and Alaska Native,32243
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,Asian,44849
Guaynabo,Puerto Rico,42.2,33066,37426,70492,,,,PR,American Indian and Alaska Native,589
Pittsburg,California,34.5,33309,36118,69427,2109,21043,3.15,CA,Black or African-American,14931
